PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
-3266003330,19010237,6,2019-01-16T09:30:00,"200 Block Lehigh Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,705,8,2,-79.9264663282328,40.4584577513077
196512479,19013391,5,2019-01-21T10:00:00,"2400 Block Patterson St Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary.,1608,3,3,-79.9725491323152,40.4193028972248
196522778,19013444,0,2019-01-21T15:15:00,"Odanah St Pittsburgh, PA 15212",N,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): Damage to gas meter.,2620,1,1,-79.9899376925472,40.4704037532292
196793689,19015535,0,2019-01-24T20:41:00,"1000 Block Springer Rd Scottdale, PA 15683",Y,Squirrel Hill South,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),1408,,,0,0
196786481,19015456,18,2019-01-24T16:44:00,"Hamilton Ave & N Braddock Ave Pittsburgh, PA 15208",Y,Homewood South,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,1303,9,2,-79.8911118301932,40.4531728383208
196790657,19015397,6,2019-01-24T08:00:00,"100 Block S 22nd St Pittsburgh, PA 15203",Y,South Side Flats,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1609,3,3,-79.9748560097937,40.4277907844202
196801578,19015698,18,2019-01-25T01:21:00,"S 26th St & Sarah St Pittsburgh, PA 15203",Y,South Side Flats,3,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 1301 Registration and Certificate of Title Required.,1609,3,3,-79.9688040117931,40.4265869495451
197342815,19021285,14,2019-02-02T06:30:00,"Climax St & Walter St Pittsburgh, PA 15210",N,Allentown,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1803,3,5,-79.9947306271492,40.4199641600991
196793584,19015480,16,2019-01-24T21:11:00,"600 Block Commonwealth Pl Pittsburgh, PA 15222",Y,Central Business District,1,PROSTITUTION,5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession / 907 Possessing Instruments of Crime.,201,6,6,-80.0064088164826,40.4417408925392
196802258,19015747,0,2019-01-25T03:00:00,"200 Block S Aiken Ave Pittsburgh, PA 15224",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): ,806,7,2,-79.9376087390645,40.4633274721188
196837050,19015986,5,2019-01-25T12:00:00,"300 Block Grace St Pittsburgh, PA 15211",N,Mount Washington,3,BURGLARY,3502 Burglary.,1914,2,5,-80.0107558305239,40.4308933436428
-2728001860,19016343,6,2019-01-25T22:20:00,"Liberty Ave & 20th St Pittsburgh, PA 15222",Y,Strip District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,203,7,6,-79.9833007153134,40.4505626406844
196860617,19016283,3,2019-01-25T20:46:00,"Zaruba St & Spring St Pittsburgh, PA 15210",Y,Arlington,3,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2701 Simple Assault. / 2902 Unlawful Restraint. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1603,3,3,-79.9647727406499,40.4153719126417
196861512,19016364,6,2019-01-25T23:25:00,"20th St & Liberty Ave Pittsburgh, PA 15222",N,Strip District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,203,7,6,-79.9833007153134,40.4505626406844
196862372,19016380,21,2019-01-26T00:01:00,"57th St & Butler St Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,DUI - GENERAL IMPAIRMENT,3802(a)(2) DUI - BAC >.08% <.10% / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment,1011,7,2,-79.9463012679972,40.4851662190445
195883742,19006981,9,2019-01-11T15:30:00,"700 Block Lorenz Ave Pittsburgh, PA 15220",N,Elliott,6,FORGERY,4101 Forgery.,2020,2,5,-80.0392498746165,40.445118013911
-3293001113,19009539,99,2019-01-15T12:09:00,"1200 Block Courtright St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,2715,,,0,0
196360623,19009733,17,2019-01-14T08:00:00,Zone 1,Y,,1,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
196285732,19011064,6,2019-01-17T16:00:00,"20 Block Plough St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2715,1,1,-80.0331275804042,40.4676532023528
196487670,19013296,99,2019-01-21T10:28:00,"700 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,AIDED CASE,9497 Aided Case,2609,1,1,-79.9982412589835,40.4759997700279
196775278,19015371,10,2019-01-24T13:37:00,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1203,9,2,-79.9011653372096,40.4686267994031
196793467,19015568,27,2019-01-24T20:31:00,"100 Block Dilworth St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1914,2,5,-80.0115862258949,40.4254436658815
196799082,19015651,10,2019-01-24T23:25:00,"3000 Block Shadeland Ave Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2715,1,1,-80.0307312461892,40.4716454817806
-3199000769,19010852,10,2019-01-17T10:10:00,"1900 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault.,1702,,,0,0
196650288,19014301,27,2019-01-22T23:15:00,"7200 Block Upland St Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1301,9,2,-79.8945599639087,40.4617755237369
196720747,19014786,99,2019-01-23T16:42:00,"Melwood Ave & Jewel St Pittsburgh, PA 15219",N,Polish Hill,2,FOUND PROPERTY,9489 Found Property,605,7,6,-79.9631341626806,40.4583561222949
196737556,19015096,10,2019-01-24T03:21:00,"12th St & Penn Ave Pittsburgh, PA 15222",Y,Strip District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,203,7,6,-79.9923915576761,40.4457714768599
196856135,19015613,6,2019-01-24T21:10:00,"100 Block S Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 903 Criminal Conspiracy.,1115,7,2,-79.919381630796,40.4726220390404
196856727,19016270,10,2019-01-25T19:44:00,"500 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2304,1,1,-80.0005722739975,40.4535002610431
196862279,19016397,99,2019-01-26T00:13:00,"800 Block Johnston Ave Pittsburgh, PA 15207",Y,Glen Hazel,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1504,,,0,0
196863435,19016450,23,2019-01-26T01:52:00,"900 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201,6,6,-79.9980468769971,40.4436186700538
196864075,19016522,14,2019-01-26T04:40:00,"30 Block Almeda St Pittsburgh, PA 15207",N,Hazelwood,4,CRIM MISCHIEF,3304 Criminal Mischief.,1515,5,3,-79.9405609066625,40.4030304833634
196494384,19011490,17,2019-01-15T00:05:00,Zone 5,N,,5,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
196514589,19011859,10,2019-01-18T13:45:00,"700 Block General Robinson St W Pittsburgh, PA 15212",Y,North Shore,1,HARRASSMENT,2709(a) Harassment.,2205,,,0,0
196604251,19013981,27,2019-01-22T13:35:00,"1600 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2507,6,1,-80.015761536998,40.4579692938646
196864462,19016487,10,2019-01-26T01:50:00,"Liberty Ave & 6th Ave Pittsburgh, PA 15222",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 13(a)(31) Marijuana: Possession Small Amount / 5505 Public Drunkenness,201,6,6,-80.0002309446644,40.442341198819
196607153,19014010,27,2019-01-22T14:25:00,"2700 Block Shelly St Pittsburgh, PA 15203",N,South Side Slopes,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1608,3,3,-79.9688974764135,40.4229172188872
196633467,19014164,5,2019-01-22T19:00:00,"300 Block Hastings St Pittsburgh, PA 15206",N,Point Breeze,4,BURGLARY,3502 Burglary.,1404,8,3,-79.9130515177852,40.4512102510232
-3206052334,19014544,14,2019-01-23T01:30:00,"2500 Block Wylie Ave Pittsburgh, PA 15219",N,Middle Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,501,6,3,-79.9716757110531,40.4481106733547
196802853,19015761,0,2019-01-25T03:57:00,"500 Block Kemp St Pittsburgh, PA 15220",N,Westwood,6,99,425.26 Miscellaneous,2811,,,0,0
196802900,19015758,0,2019-01-25T03:38:00,"2800 Block Brownsville Rd Pittsburgh, PA 15227",Y,Carrick,3,99,"601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",2904,4,3,-79.9775325525589,40.3834499866782
196808130,19015196,17,2019-01-23T00:05:00,Zone 6,N,,6,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
196846161,19015340,99,2019-01-24T12:56:00,"5100 Block Cypress St Pittsburgh, PA 15224",N,Bloomfield,5,AIDED CASE,9497 Aided Case,804,7,2,-79.9438212413475,40.4569747307739
196801477,19015676,4,2019-01-25T00:27:00,"50 Block E Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person.,2615,1,1,-80.0105099753768,40.47526025217
195978600,19008750,27,2019-01-14T07:09:00,"Lebanon Rd & Mifflin Rd Pittsburgh, PA 15207",N,Brookline,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1917,5,3,-79.9255214274331,40.3795966299643
195980378,19008765,6,2019-01-14T08:10:00,"1300 Block Pitt St Pittsburgh, PA 15221",N,Homewood South,5,THEFT FROM AUTO,3934 Theft from Vehicle,1304,,,-79.8856994663484,40.4470833783026
195981325,19008780,6,2019-01-14T07:50:00,"2900 Block Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle,501,6,3,-79.9670328245115,40.451711544916
195982800,19008797,6,2019-01-14T08:15:00,"1200 Block Hodgkiss St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2704,1,1,-80.0268902150362,40.4676764849431
195984689,19008809,27,2019-01-11T09:00:00,"600 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,6,6,-79.9948560626431,40.4413629674267
195988486,19008833,6,2019-01-14T08:30:00,"37th St & Penn Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,THEFT FROM AUTO,3934 Theft from Vehicle,603,7,2,-79.9625316265336,40.4644249984057
195996753,19008897,27,2019-01-14T09:00:00,"60 Block Haberman Ave Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1807,3,5,-80.0027843404504,40.4245291941665
196003308,19008948,0,2019-01-12T18:30:00,"Forbes Ave & Mc Anulty Dr Pittsburgh, PA 15219",N,Bluff,2,99,1786 Required Financial Responsibility.,103,6,6,-79.9910413990655,40.4379382711464
196008832,19008960,99,2019-01-14T14:00:00,"900 Block Freeport Rd Pittsburgh, PA ",Y,East Liberty,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1113,9,2,-79.8923529450752,40.4861185015656
196288893,19011038,6,2019-01-17T15:26:00,"2200 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",203,7,6,-79.9819706474306,40.452203862932
196792640,19015528,18,2019-01-24T18:38:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance,509,6,3,-79.9738397090324,40.4509833047534
196878632,19016818,14,2019-01-26T10:00:00,"7300 Block Butler St Pittsburgh, PA 15201",N,Morningside,5,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1014,7,2,-79.9213476044596,40.4879396949996
196882342,19016199,6,2019-01-24T22:00:00,"4200 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,901,7,2,-79.9605704083667,40.4702751876467
196887425,19017079,6,2019-01-27T01:30:00,"Frankstown Ave & Brushton Ave Pittsburgh, PA 15221",N,East Hills,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3733 Fleeing or Attempting to Elude Police Officer,1306,9,2,-79.8880963867104,40.4555344380276
196890451,19017151,21,2019-01-27T03:03:00,"S Main St & West End Cir Pittsburgh, PA ",Y,Duquesne Heights,3,DUI - GENERAL IMPAIRMENT,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3301 Driving on Right Side of Roadway. / 3802(a)(1) DUI - General Impairment / 3331 Required Position and Method of Turning.,1911,,,0,0
196233376,19010769,0,2019-01-17T06:49:00,"300 Block Forbes Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.0007602567799,40.4399534197383
196718525,19014719,10,2019-01-23T15:05:00,"2900 Block Glen Mawr St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2018,2,5,-80.0512621204587,40.4551893197363
196876161,19016767,0,2019-01-26T16:39:00,"400 Block Alice St Pittsburgh, PA 15210",N,Knoxville,3,99,9999 9999 - (Misc. Incident): ,3001,3,5,-79.995097060996,40.4101701173346
196876533,19015193,10,2019-01-17T12:00:00,"2700 Block Ellis St Pittsburgh, PA 15214",N,Perry South,1,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older / 4304(a)(1) Enhanced Endangering Welfare of Children - Course of Conduct,2615,6,1,-80.0111654880338,40.4725875172274
196884244,19016960,99,2019-01-26T22:19:00,"100 Block Rochelle St Pittsburgh, PA 15210",N,Knoxville,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3001,3,5,-79.9881100899007,40.4151750679869
196889580,19017111,0,2019-01-27T02:11:00,"Friendship Ave & Pearl St Pittsburgh, PA 15224",Y,Bloomfield,5,99,3114 Flashing Signals. / 3714 Careless Driving / 1786 Required Financial Responsibility.,809,7,2,-79.9489377843704,40.4635174008482
196890138,19017057,21,2019-01-27T00:52:00,"West End Brg & Ohio River Blvd Ramp Pittsburgh, PA 15233",Y,Manchester,1,DUI - GENERAL IMPAIRMENT,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment,2107,,,0,0
196072201,19009571,99,2019-01-15T13:00:00,"50 Block Garetta St Pittsburgh, PA 15217",N,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1414,,,0,0
196187543,19010505,10,2019-01-16T19:02:00,"Bigelow Blvd & Herron Ave Pittsburgh, PA 15219",Y,Strip District,2,SIMPLE ASSAULT,2701 Simple Assault.,203,7,6,-79.9659415928572,40.4557433139963
196267514,18238580,18,2019-01-17T10:00:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2304,6,1,-80.0069833937371,40.460310552493
196262410,18235832,18,2019-01-17T10:00:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Central North Side,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,2206,6,1,-80.0069833937371,40.460310552493
196849968,19016081,18,2019-01-25T15:56:00,"Tioga St & N Richland St Pittsburgh, PA 15208",N,Homewood South,5,STOLEN PROPERTY - OTHER,"13(a)(16) Possession of Controlled Substance / 4304(a)(1) Endangering Welfare of Children. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs. / 3736 Reckless Driving",1303,9,2,-79.8932019380778,40.4525492415843
196853122,19016166,29,2019-01-25T17:40:00,"900 Block Pennsylvania Ave Pittsburgh, PA 15233",N,Central North Side,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2206,6,1,-80.0193034773682,40.4557104233328
196869220,19016584,10,2019-01-26T09:00:00,"2600 Block Webster Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT,2709(a) Harassment.,509,6,3,-79.9709418991142,40.4501331342241
196872244,19016609,18,2019-01-26T10:29:00,"6000 Block Broad St Pittsburgh, PA 15206",Y,East Liberty,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,1115,,,0,0
196874386,19016718,14,2019-01-26T14:20:00,"7300 Block Forest Way Pittsburgh, PA 15208",N,Homewood North,5,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1302,9,2,-79.8939529767035,40.4573196541867
195996678,19008872,6,2019-01-14T08:45:00,"800 Block N Braddock Ave Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1304,5,3,-79.8966227117437,40.4366416436619
195999507,19008901,6,2019-01-14T12:50:00,"6300 Block Shakespeare St Pittsburgh, PA 15206",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,708,,,0,0
196189115,19010535,14,2019-01-16T19:08:00,"1000 Block Chartiers Ave Pittsburgh, PA 15220",N,Elliott,6,CRIM MISCHIEF,3304 Criminal Mischief.,2020,2,5,-80.0406106283708,40.4442082382811
196834354,19015907,6,2019-01-25T10:50:00,"2600 Block Winchester Dr Pittsburgh, PA 15220",N,Banksville,6,THEFT FROM AUTO,3934 Theft from Vehicle,2023,,,0,0
196846375,19016053,10,2019-01-25T15:20:00,"6100 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT,2709 Harassment (Non-Specific) / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,1115,9,2,-79.9237840732301,40.4607147673457
196852269,19016145,29,2019-01-25T18:00:00,"Smithfield St & Wood St Pittsburgh, PA 15222",N,Central Business District,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,201,,,0,0
196857546,19016251,18,2019-01-25T20:03:00,"400 Block St Joseph St Pittsburgh, PA 15210",Y,Mount Oliver,3,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 4303 General Lighting Requirements. / 903 Criminal Conspiracy.,1607,,,0,0
-3296002278,19013805,0,2019-01-22T05:46:00,"90 Block Irvine St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1501,,,-79.8964357719538,40.4055328146879
196808026,19015807,18,2019-01-25T06:06:00,"2100 Block Rose St Pittsburgh, PA 15219",Y,Middle Hill,2,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,501,6,3,-79.9777884271742,40.4435278926408
196910639,19017589,0,2019-01-27T01:05:00,"10 Block Esther St Pittsburgh, PA 15227",N,Overbrook,3,99,9999 9999 - (Misc. Incident): ,3204,4,5,-79.9879407548412,40.3824614649524
196911404,19017633,27,2019-01-27T21:05:00,"43rd St & Foster St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,901,7,2,-79.9615956009318,40.4715381752217
196101494,19009802,18,2019-01-15T18:53:00,"Federal St N & Jacksonia St Pittsburgh, PA 15212",Y,Central North Side,1,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 627.02(b)(i) Possessing a small amount of marijuana,2206,6,1,-80.0075467432163,40.4582708928984
196897707,19017279,0,2019-01-27T10:05:00,"1900 Block Robinson Blvd Pittsburgh, PA 15221",N,East Hills,5,99,9999 9999 - (Misc. Incident): Non-reportable automobile accident,1306,,,0,0
196912472,19017667,14,2019-01-27T22:07:00,"Ridge Ave & Brighton Rd Pittsburgh, PA 15212",Y,Allegheny West,1,UNAUTH USE-OPEN FIRE HYDRANTS,3306 Limitations on Driving on Left Side of Roadway. / 3334 Turning Movements and Required Signals. / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment,2201,1,1,-80.0134185700381,40.4506034875741
196506027,19013403,10,2019-01-21T13:15:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",Y,Middle Hill,2,HARRASSMENT,2709(a) Harassment.,501,6,3,-79.9781010622157,40.448129521411
196514585,19013425,0,2019-01-21T14:17:00,"600 Block Pressley St Pittsburgh, PA 15212",Y,East Allegheny,1,99,13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use,2304,1,1,-79.9986796721415,40.4522188227153
196701551,19014576,18,2019-01-23T11:02:00,"2000 Block Centre Ave Pittsburgh, PA 15219",Y,Middle Hill,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,501,6,3,-79.9799824053927,40.4435889103073
196880167,19016849,0,2019-01-26T19:00:00,"200 Block Watson Blvd Pittsburgh, PA 15214",N,Perry North,1,99,9999 9999 - (Misc. Incident): ,2607,4,5,-79.994601121637,40.3929022683438
196881100,19015952,27,2019-01-25T11:50:00,"Fort Pitt Brg & I-376 Pittsburgh, PA 15222",N,Mount Washington,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1903,,,0,0
196885620,19017037,0,2019-01-27T00:31:00,"100 Block Kenwood Ave Pittsburgh, PA 15214",N,Perry South,1,99,8106 Shots Fired,2614,,,0,0
196887967,19017094,4,2019-01-27T01:50:00,"1500 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,AGG-ASSAULT,2702 Aggravated Assault.,1702,3,3,-79.9833100173741,40.4286928036566
196888543,19017075,0,2019-01-27T01:20:00,"3800 Block Liberty Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,99,9999 9999 - (Misc. Incident): ,603,7,2,-79.9604899644482,40.4621093052921
196890599,19017158,6,2019-01-27T03:09:00,"Rowley St Pittsburgh, PA 15219",N,Middle Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle,501,,,0,0
196891119,19017153,0,2019-01-27T03:09:00,"300 Block 45th St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,99,901 Criminal Attempt,902,7,2,-79.9567776919275,40.470181229734
196061132,19008852,11,2019-01-14T11:00:00,"400 Block Minton St Pittsburgh, PA 15204",N,Sheraden,6,CREDIT CARDS,4106 Access Device Fraud,2018,2,5,-80.0514523336164,40.4575582491147
196874299,19016711,99,2019-01-26T14:02:00,"3200 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1414,5,3,-79.9230280741692,40.4182762702134
196876179,19016757,18,2019-01-26T15:37:00,"500 Block William Penn Pl Pittsburgh, PA 15219",N,Central Business District,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,201,,,0,0
196879889,19016819,99,2019-01-26T18:15:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,AIDED CASE,9497 Aided Case,1202,9,2,-79.8923529450752,40.4861185015656
196015037,19009075,0,2019-01-14T16:00:00,"1800 Block Belleau St Pittsburgh, PA 15214",N,Fineview,1,99,3503(b.1) Criminal Trespass - Simple Trespasser,2509,6,1,-80.0068084681952,40.4619049318352
196928040,19017850,0,2019-01-28T08:20:00,"200 Block Stanwix St Pittsburgh, PA 15222",Y,Central Business District,2,99,627.02(b)(i) Possessing a small amount of marijuana,201,6,6,-80.004883411232,40.4398315874464
196933344,19017830,14,2019-01-28T05:50:00,"900 Block W North Ave Pittsburgh, PA 15233",N,Allegheny West,1,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",2201,1,1,-80.0174464220958,40.4535746740297
196953592,19017959,27,2019-01-28T12:15:00,"40 Block 18th St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9854263074887,40.4507629186663
196958187,19018011,99,2019-01-28T14:18:00,"900 Block Allegheny Ave Pittsburgh, PA 15233",N,Manchester,1,GAMBLING INVESTIGATION,9130 Graffiti Investigation,2107,1,1,-80.0188991501526,40.4515543443705
196960016,19017981,14,2019-01-20T12:00:00,"2900 Block Devlin St Pittsburgh, PA 15210",Y,Arlington,3,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),1603,3,3,-79.9676094080632,40.4148445788391
196971490,19018073,14,2019-01-28T16:05:00,"1400 Block Arch St Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",2503,6,1,-80.0091461220579,40.4574353704684
-3313000016,19008742,14,2019-01-14T06:30:00,"200 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,708,5,3,-79.9206368616233,40.4300360653198
196288131,19011019,18,2019-01-17T15:20:00,"1100 Block Franklin Ave Pittsburgh, PA 15221",Y,Outside City,OSC,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 6110.2 Possesion of Firearm with Altered Mfg. Number,5599,6,1,-80.0220084021443,40.4569929743945
